年,新潟_降水量の合計(mm),新潟_日照時間(時間),新潟_平均気温(℃),相川_降水量の合計(mm),相川_日照時間(時間),相川_平均気温(℃),高田_降水量の合計(mm),高田_日照時間(時間),高田_平均気温(℃)
2004年1月,203,///,///,131,78.9,4.1,311,72.4,2.5
2004年2月,110,///,///,104,81.9,5.4,281,117.6,4.2
2004年3月,84,///,///,58.5,168,6.7,164.5,153.8,6.2
2004年4月,111.5,///,///,91.5,193.5,11.4,74.5,214.8,12.4
2004年5月,192.5,///,///,235,149.4,16.5,165.5,130,17.5
2004年6月,132.5,///,///,118.5,187.4,20.2,136.5,178.1,21.4
2004年7月,222.5,///,///,119.5,202.7,25,187,231.2,26.7
2004年8月,178,///,///,288.5,239.4,25.7,166,198.7,26.2
2004年9月,109,///,///,212.5,143.6,22.9,210.5,117.5,23.3
2004年10月,237.5,///,///,161.5,117.9,16.8,376,122.8,16
2004年11月,144,///,///,119,106,13.7,210,107.2,12.5
2004年12月,193,///,///,124,85.8,8,412,91.7,6.5
2005年1月,166.5,///,///,155.5,48.2,4.2,540,67.4,2.4
2005年2月,122.5,///,///,88.5,30.9,2.6,385,60.8,1.9
2005年3月,141.5,///,///,92,106.9,5.8,267.5,104.9,4.4
2005年4月,53,///,///,60.5,194.8,11.4,66.5,206.7,12.1
2005年5月,49.5,///,///,57.5,200.2,14.3,53.5,188.6,15.4
2005年6月,169.5,///,///,199.5,182.4,21,192.5,148.6,22.2
2005年7月,103.5,///,///,67,133,23.3,199,101.9,24.3
2005年8月,193,///,///,155,206.3,26.5,174.5,163.6,26.6
2005年9月,76.5,///,///,112,138.7,22.9,113.5,136.1,23.2
2005年10月,212.5,///,///,177.5,158.9,17.3,160,109,17.1
2005年11月,231,///,///,180,99,11.6,356,98.9,10.1
2005年12月,294,///,///,206.5,38.2,3.7,552,48.4,2.4
2006年1月,84.5,///,///,50,50.7,2.8,334,58.1,1.3
2006年2月,92,///,///,50.5,66,3.9,220,79.2,2.1
2006年3月,157.5,///,///,91.5,125.3,5.8,253,133.1,4.7
2006年4月,82,///,///,80,124.5,10.1,163,128.3,10.1
2006年5月,132,///,///,124,151.4,15.5,116,150.1,16.9
2006年6月,70,///,///,72.5,162.7,19.4,66.5,132.9,21
2006年7月,466,///,///,402.5,81.3,22.4,488,71.5,23.4
2006年8月,78,///,///,47.5,270.2,26.8,88.5,260.7,27.3
2006年9月,92,///,///,82,166.9,21.7,199,156.6,21.7
2006年10月,181.5,///,///,104,160.9,17.4,331.5,149.7,16.9
2006年11月,253,///,///,178.5,91.3,12.2,310.5,111.2,11.1
2006年12月,326,///,///,199.5,35,7.5,506,56.6,5.7
2007年1月,104.5,///,///,74,58,5.8,244.5,80,4
2007年2月,72,///,///,56.5,98.3,5.5,174.5,117.6,4.8
2007年3月,131.5,///,///,100.5,107.6,6.4,182.5,103.6,6
2007年4月,83.5,///,///,69.5,146.9,10.4,86.5,144.7,10.8
2007年5月,56,///,///,59.5,153.8,15.7,116,208.4,16.7
2007年6月,229,///,///,162,185.9,20.2,273.5,149.8,20.9
2007年7月,135,///,///,123.5,109.2,22.2,175,78.3,22.7
2007年8月,286.5,///,///,147.5,214.8,26.2,133.5,222.6,27.2
2007年9月,54,///,///,37.5,166,24,88.5,170.7,24.2
2007年10月,136,///,///,88,140,17.2,158,134.7,16.2
2007年11月,149.5,///,///,120.5,///,11.2,263.5,115.8,9.6
2007年12月,311,///,///,205,57.3,7.5,553,51.2,5.8
2008年1月,116,///,///,100.5,38.1,3.8,385,///,2.2
2008年2月,119.5,///,///,87,51.2,3.2,216,79.3,1.6
2008年3月,52.5,///,///,63,163.5,7.6,160,137.3,6.7
