新潟,新潟,新潟,相川,相川,相川,高田,高田,高田
,降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃)
2004年1月,203.0,///,///,131.0,78.9,4.1,311.0,72.4,2.5
2004年2月,110.0,///,///,104.0,81.9,5.4,281.0,117.6,4.2
2004年3月,84.0,///,///,58.5,168.0,6.7,164.5,153.8,6.2
2004年4月,111.5,///,///,91.5,193.5,11.4,74.5,214.8,12.4
2004年5月,192.5,///,///,235.0,149.4,16.5,165.5,130.0,17.5
2004年6月,132.5,///,///,118.5,187.4,20.2,136.5,178.1,21.4
2004年7月,222.5,///,///,119.5,202.7,25.0,187.0,231.2,26.7
2004年8月,178.0,///,///,288.5,239.4,25.7,166.0,198.7,26.2
2004年9月,109.0,///,///,212.5,143.6,22.9,210.5,117.5,23.3
2004年10月,237.5,///,///,161.5,117.9,16.8,376.0,122.8,16.0
2004年11月,144.0,///,///,119.0,106.0,13.7,210.0,107.2,12.5
2004年12月,193.0,///,///,124.0,85.8,8.0,412.0,91.7,6.5
2005年1月,166.5,///,///,155.5,48.2,4.2,540.0,67.4,2.4
2005年2月,122.5,///,///,88.5,30.9,2.6,385.0,60.8,1.9
2005年3月,141.5,///,///,92.0,106.9,5.8,267.5,104.9,4.4
2005年4月,53.0,///,///,60.5,194.8,11.4,66.5,206.7,12.1
2005年5月,49.5,///,///,57.5,200.2,14.3,53.5,188.6,15.4
2005年6月,169.5,///,///,199.5,182.4,21.0,192.5,148.6,22.2
2005年7月,103.5,///,///,67.0,133.0,23.3,199.0,101.9,24.3
2005年8月,193.0,///,///,155.0,206.3,26.5,174.5,163.6,26.6
2005年9月,76.5,///,///,112.0,138.7,22.9,113.5,136.1,23.2
2005年10月,212.5,///,///,177.5,158.9,17.3,160.0,109.0,17.1
2005年11月,231.0,///,///,180.0,99.0,11.6,356.0,98.9,10.1
2005年12月,294.0,///,///,206.5,38.2,3.7,552.0,48.4,2.4
2006年1月,84.5,///,///,50.0,50.7,2.8,334.0,58.1,1.3
2006年2月,92.0,///,///,50.5,66.0,3.9,220.0,79.2,2.1
2006年3月,157.5,///,///,91.5,125.3,5.8,253.0,133.1,4.7
2006年4月,82.0,///,///,80.0,124.5,10.1,163.0,128.3,10.1
2006年5月,132.0,///,///,124.0,151.4,15.5,116.0,150.1,16.9
2006年6月,70.0,///,///,72.5,162.7,19.4,66.5,132.9,21.0
2006年7月,466.0,///,///,402.5,81.3,22.4,488.0,71.5,23.4
2006年8月,78.0,///,///,47.5,270.2,26.8,88.5,260.7,27.3
2006年9月,92.0,///,///,82.0,166.9,21.7,199.0,156.6,21.7
2006年10月,181.5,///,///,104.0,160.9,17.4,331.5,149.7,16.9
2006年11月,253.0,///,///,178.5,91.3,12.2,310.5,111.2,11.1
2006年12月,326.0,///,///,199.5,35.0,7.5,506.0,56.6,5.7
2007年1月,104.5,///,///,74.0,58.0,5.8,244.5,80.0,4.0
2007年2月,72.0,///,///,56.5,98.3,5.5,174.5,117.6,4.8
2007年3月,131.5,///,///,100.5,107.6,6.4,182.5,103.6,6.0
2007年4月,83.5,///,///,69.5,146.9,10.4,86.5,144.7,10.8
2007年5月,56.0,///,///,59.5,153.8,15.7,116.0,208.4,16.7
2007年6月,229.0,///,///,162.0,185.9,20.2,273.5,149.8,20.9
2007年7月,135.0,///,///,123.5,109.2,22.2,175.0,78.3,22.7
2007年8月,286.5,///,///,147.5,214.8,26.2,133.5,222.6,27.2
2007年9月,54.0,///,///,37.5,166.0,24.0,88.5,170.7,24.2
2007年10月,136.0,///,///,88.0,140.0,17.2,158.0,134.7,16.2
2007年11月,149.5,///,///,120.5,///,11.2,263.5,115.8,9.6
2007年12月,311.0,///,///,205.0,57.3,7.5,553.0,51.2,5.8
2008年1月,116.0,///,///,100.5,38.1,3.8,385.0,///,2.2
2008年2月,119.5,///,///,87.0,51.2,3.2,216.0,79.3,1.6
2008年3月,52.5,///,///,63.0,163.5,7.6,160.0,137.3,6.7
2008年4月,57.0,///,///,73.5,194.3,12.3,59.5,174.1,12.4
2008年5月,74.0,///,///,84.5,204.7,16.4,60.0,208.8,17.5
2008年6月,54.0,201.1,///,50.0,213.9,19.3,118.0,152.6,20.1
2008年7月,101.5,135.0,///,134.0,157.7,24.6,187.5,154.7,25.7
2008年8月,201.0,189.7,///,198.0,206.6,25.3,248.0,172.5,25.6
2008年9月,93.5,180.3,///,54.5,170.4,22.1,205.5,157.2,22.1
2008年10月,217.0,158.5,///,146.0,168.5,17.8,124.0,150.0,17.1
2008年11月,280.0,95.0,///,184.5,92.7,11.8,290.0,97.4,10.2
2008年12月,164.0,92.1,///,135.5,65.4,8.4,293.0,141.4,6.7
2009年1月,216.5,82.9,///,143.0,72.3,4.9,268.5,81.0,3.5
2009年2月,124.5,70.0,///,103.0,66.3,4.8,194.5,65.0,4.4
2009年3月,140.0,143.2,///,99.5,133.4,6.4,211.0,///,6.3
2009年4月,78.0,183.9,///,67.5,169.7,11.1,99.0,206.7,11.7
2009年5月,50.5,183.0,///,57.0,177.0,16.4,39.0,178.7,17.3
2009年6月,68.0,183.3,///,94.5,209.2,20.2,69.0,156.1,21.4
2009年7月,255.0,100.8,///,296.5,109.2,22.7,301.0,65.2,23.9
2009年8月,142.0,155.1,///,124.5,143.6,24.0,134.5,129.2,24.8
2009年9月,66.0,158.0,///,32.5,152.7,21.1,46.0,137.1,21.3
2009年10月,172.5,162.1,///,204.5,177.2,17.2,193.5,153.3,16.2
2009年11月,169.0,106.1,///,136.0,80.7,12.3,325.0,108.1,11.1
2009年12月,310.5,57.8,///,203.0,59.2,6.8,349.5,67.3,5.5
2010年1月,184.0,52.6,///,118.5,37.0,4.7,678.5,66.5,2.5
2010年2月,204.0,80.2,///,109.0,74.1,3.7,267.0,80.9,2.7
2010年3月,150.5,84.5,///,182.5,88.4,5.7,215.5,69.8,5.4
2010年4月,110.5,122.2,///,105.0,133.6,9.8,126.5,124.2,9.9
2010年5月,136.5,177.2,///,105.5,161.6,14.5,109.5,174.8,15.8
2010年6月,148.5,187.3,///,144.5,184.7,20.2,162.0,170.8,21.3
2010年7月,109.5,202.6,///,108.5,192.9,25.3,118.0,178.7,26.2
2010年8月,54.5,257.7,///,50.0,261.4,28.1,17.0,221.2,28.7
2010年9月,334.5,142.5,///,344.0,163.2,23.6,285.5,131.6,23.3
2010年10月,134.0,116.1,///,120.5,135.9,18.0,229.5,116.9,17.0
2010年11月,196.0,95.0,///,146.5,93.1,12.1,300.0,127.1,10.2
2010年12月,309.5,65.5,///,285.0,63.3,7.7,533.0,74.8,6.1
2011年1月,168.0,49.4,///,131.5,30.6,2.2,567.0,31.6,0.7
2011年2月,100.0,112.9,///,87.0,107.2,4.7,123.5,128.9,3.1
2011年3月,103.0,137.3,///,85.5,118.7,4.6,207.5,135.8,3.9
2011年4月,118.5,183.5,///,145.5,162.4,10.2,110.0,191.7,10.5
2011年5月,96.5,188.1,///,155.5,157.6,15.0,182.5,196.2,16.7
2011年6月,191.0,163.8,///,231.0,150.3,20.0,239.0,149.2,21.5
